E (eV)	eps1 	eps2 		
2.1608	7.1686	5.9129E-9
2.1587	7.1665	5.6567E-9
2.1565	7.1644	5.4125E-9
2.1544	7.1623	5.1783E-9
2.1523	7.1602	4.954E-9
2.1501	7.1581	4.7402E-9
2.148	7.156	4.5354E-9
2.1459	7.1539	4.3391E-9
2.1438	7.1519	4.1519E-9
2.1416	7.1498	3.9736E-9
2.1395	7.1477	3.8018E-9
2.1374	7.1457	3.6387E-9
2.1353	7.1437	3.4817E-9
2.1332	7.1417	3.3321E-9
2.1311	7.1396	3.1893E-9
2.129	7.1376	3.0524E-9
2.127	7.1356	2.9214E-9
2.1249	7.1336	2.7964E-9
2.1228	7.1316	2.6765E-9
2.1207	7.1297	2.5617E-9
2.1186	7.1277	2.4522E-9
2.1166	7.1257	2.3477E-9
2.1145	7.1238	2.2471E-9
2.1125	7.1218	2.1516E-9
2.1104	7.1199	2.0597E-9
2.1084	7.118	1.9719E-9
2.1063	7.116	1.8878E-9
2.1043	7.1141	1.8075E-9
2.1022	7.1122	1.7307E-9
2.1002	7.1103	1.6573E-9
2.0982	7.1084	1.5869E-9
2.0961	7.1065	1.5195E-9
2.0941	7.1047	1.4552E-9
2.0921	7.1028	1.3935E-9
2.0901	7.1009	1.3344E-9
2.0881	7.099	1.278E-9
2.0861	7.0972	1.2239E-9
2.084	7.0954	1.1723E-9
2.0821	7.0935	1.1228E-9
2.08	7.0917	1.0754E-9
2.0781	7.0899	1.0301E-9
2.0761	7.088	9.8663E-10
2.0741	7.0862	9.452E-10
2.0721	7.0844	9.0549E-10
2.0701	7.0826	8.6737E-10
2.0682	7.0808	8.3099E-10
2.0662	7.0791	7.9612E-10
2.0642	7.0773	7.6269E-10
2.0623	7.0755	7.3076E-10
2.0603	7.0737	7.0012E-10
2.0584	7.072	6.7091E-10
2.0564	7.0702	6.429E-10
2.0545	7.0685	6.1599E-10
2.0525	7.0668	5.9032E-10
2.0506	7.065	5.657E-10
2.0486	7.0633	5.421E-10
2.0467	7.0616	5.1954E-10
2.0448	7.0599	4.979E-10
2.0429	7.0582	4.7726E-10
2.0409	7.0565	4.5736E-10
2.039	7.0548	4.3844E-10
2.0371	7.0531	4.2019E-10
2.0352	7.0514	4.0278E-10
2.0333	7.0497	3.8609E-10
2.0314	7.048	3.7013E-10
2.0295	7.0464	3.5482E-10
2.0276	7.0447	3.4013E-10
2.0257	7.0431	3.2612E-10
2.0238	7.0414	3.1266E-10
2.0219	7.0398	2.998E-10
2.02	7.0382	2.874E-10
2.0181	7.0365	2.7558E-10
2.0163	7.0349	2.6427E-10
2.0144	7.0333	2.5341E-10
2.0125	7.0317	2.43E-10
2.0107	7.0301	2.3301E-10
2.0088	7.0285	2.2346E-10
2.0069	7.0269	2.1429E-10
2.0051	7.0253	2.0554E-10
2.0032	7.0237	1.9715E-10
2.0014	7.0221	1.8908E-10
